text,label
ternyata ini kodenya pantesan tetangga gak pernah isi token gratis 3 bulan pemakaian listrik,hoax
"purbaya yudhi sadewa butuh dana bantuan tenang, dana bantuan umkm usaha siap membantu anda kami menyediakan dana bantuan umkm usaha online untuk seluruh wilayah indonesia bisa digunakan untuk pendidikan kuliah modal usaha biaya kesehatan kebutuhan lainnya dana talangan tersedia jangan tunda kebutuhan penting anda.",hoax
"memanas guys menkeu purbaya tantang luhut menkeu purbaya tegaskan ke luhut panjait4n, tegaskan kata menkeu purbaya jika anda mbg ingin terus berjalan coba dong bapak berikan pernyataan terbuka ke masyarakat, jumlah dapur mbg berapa, per dapur mendapatkan anggaran berapa, biar jelas uangnya klo betul tidak di korup i menurut kalian kira kira bagaimana guys...",hoax
"megawati soekarnoputri ingatkan kalo mau lihat sampah negara maka lihatlah guru honorer karena merekalah sampah negara. bagaimana pendapat anda, guru honorer adalah sampah negara.",hoax
"silahkan hubungi whatsap untuk mendaftar 085849938227, kami dari kementerian keuangan menjalankan program dana bantuan untuk rakyat ngap. daftar dan masukkan data kalian untuk mengklaim bantuan ini. hubungi staf kami, niscaya program ini berjalan lancar dan transparan. bantuan ini alhamdulillah saya sendiri yang mengajukan dan telah disetujui negara. budayakan transparansi dalam setiap program. saya menteri keuangan purbaya, terima kasih.",hoax
"vaccinating children and breaking their immune system at an early age creates a customer for life forever. i mean suddenly they ve all got medications they have to take for add, adhd, asthma, eczema, they got inhalers, they got all of these things. and also not only does it drive the pharmaceutical industry, it drives the entire health care system because you go in and see the pediatrician and now you got a seizure disorder, now you go to see the neurologist, now you got to get an eeg and an mri and maybe you have a special type of seizure so you have to go to a specialist. it drives the entire system. think about unvaccinated children. how many times do they go to the doctor maybe once a year for a school physical for sports. and that s it. you can t drive a multi billion dollar industry when kids are not sick. so we ll make them sick and we ll give them all these medications, we ll make them have to go to specialists and super subspecialists and special special specialists. inline3 margin 1.5em auto inline3 img margin 0 auto max width 300px important gpt inline3 passback text align center we ll get all these tests and all these blood tests and all these x rays and all this stuff. they are smart. they ve figured it out. that s why they want to break these kids at an early age. we would just be pulling the rug out from underneath the entire industry. membuat mereka sakit adalah cara menjalankan industri bernilai miliaran dolar. pernah terpikir kenapa daftar diagnosis anak anak zaman sekarang makin panjang mulai dari asma, adhd, hingga autoimun. narasi ini mengajak kita melihat sisi lain apakah sistem kesehatan kita benar benar ingin menyembuhkan, atau justru sedang menciptakan pelanggan tetap",hoax
"apakah ini termasuk mati sangit ironi..... ternyata jumlah tentara muslim muslimah di tubuh militer zionis israel tak disangka sangka pembunuhan terhadap pengawal pribadi netanyahu, letnan nada faskhon seorang wanita muslimah, telah dikonfirmasi ,",hoax
"cpns dinas perhubungan resmi dibuka mulai hari ini. pendaftaran secara online. website pendaftaran ada di bio, pendaftaran cpns dinas perhubungan 2026 persyaratan 1. laki laki perempuan 2. lulusan sma perguruan tinggi d3 s1 53 3.usia min 18 dia tahun maks 45 tahun 4. sehat jasmani rohani berkelakuan baik 5.penempatan daerah masing masing tidak ada biaya apapun silahkkan klik website di bio untuk minimal lulusan sma sederat ovatif berjiwa jujur, bertanggung. domisili peserta pendaftaran gratis,",hoax
"sebuah keputusan bersejarah brunei resmi putuskan semua hubungan dengan isr4el satu persatu negara mulai meninggalkan isreweell, brunei resmi putuskan semua hubungan dengan israel. brunei darussalam secara resmi mengumumkan pemutusan seluruh hubungan yang tersisa dengan israel. langkah diplomatik ini diambil di tengah meningkatnya ketegangan di timur tengah dan mencerminkan komitmen brunei untuk mendukung keadilan serta solidaritas dengan masyarakat palestina. isrewel mulai kalah tapi tidak di sadarkan ,",hoax
"dhuaarrr lhaa, ternyata emang bener kan dalam vaksin flu terkandung merkuri di dalamnya. bagaimana dengan vaksin vaksin lainnya inline3 margin 1.5em auto inline3 img margin 0 auto max width 300px important gpt inline3 passback text align center padahal selama ini kita susah payah menghindari kosmetik dan seafood yang mengandung merkuri. jebul ternyata selama ini malah disuntikkan langsung ke aliran darah, u.s. to remove mercury preservative from flu shots following rfk jr. vaccine panel vote",hoax
